"","Stream.Name","Station.Name","Parameter","Date","Comments","Rain.in.Last.24.Hours","Sky.Condition","Final_Value","Year","Month"
"1","Ellerbe Creek","EL1.9EC","Copper",2019-01-08," ","No","Partly Cloudy",3.2,"2019",1
"2","Ellerbe Creek","EL1.9EC","Copper",2019-02-05," ","No","Sunny",2.55,"2019",2
"3","Ellerbe Creek","EL1.9EC","Copper",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",4.175,"2019",3
"4","Ellerbe Creek","EL1.9EC","Copper",2019-04-02," ","No","Overcast",3.55,"2019",4
"5","Ellerbe Creek","EL1.9EC","Copper",2019-05-07," ","No","Partly Cloudy",5.25,"2019",5
"6","Ellerbe Creek","EL1.9EC","Copper",2019-06-05," ","No","Overcast",3.6,"2019",6
"7","Ellerbe Creek","EL1.9EC","Copper",2019-07-09," ","Yes","Overcast",4.45,"2019",7
"8","Ellerbe Creek","EL1.9EC","Copper",2019-08-06," ","Yes","Overcast",4.15,"2019",8
"9","Ellerbe Creek","EL1.9EC","Copper",2019-09-03," ","No","Sunny",2.55,"2019",9
"10","Ellerbe Creek","EL1.9EC","Copper",2019-10-01," ","No","Sunny",2,"2019",10
"11","Ellerbe Creek","EL1.9EC","Copper",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",3.475,"2019",11
"12","Ellerbe Creek","EL1.9EC","Copper",2019-12-03,"Organic foam on water surfaace","No","Sunny",2.65,"2019",12
"13","Ellerbe Creek","EL1.9EC","Copper",2020-01-07," ","No","Overcast",3.6,"2020",1
"14","Ellerbe Creek","EL1.9EC","Copper",2020-02-04," ","No","Partly Cloudy",4.05,"2020",2
"15","Ellerbe Creek","EL1.9EC","Copper",2020-03-03,"Duplicate","No","Overcast",3.65,"2020",3
"16","Ellerbe Creek","EL1.9EC","Copper",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",3.95,"2020",5
"17","Ellerbe Creek","EL1.9EC","Copper",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",8.425,"2020",8
"18","Ellerbe Creek","EL1.9EC","Copper",2020-09-01," ","Yes","Overcast",6.09,"2020",9
"19","Ellerbe Creek","EL1.9EC","Copper",2020-10-06," ","No","Sunny",3.095,"2020",10
"20","Ellerbe Creek","EL1.9EC","Copper",2020-11-03,"Duplicate Site Duplicate","No","Sunny",3.2525,"2020",11
"21","Ellerbe Creek","EL1.9EC","Copper",2020-12-01," ","Yes","Sunny",4.995,"2020",12
"22","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-01-08," ","No","Partly Cloudy",9.6,"2019",1
"23","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-02-05," ","No","Sunny",9.3,"2019",2
"24","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-03-05,"Duplicate Site","Yes","Overcast",10.4,"2019",3
"25","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-04-02," ","No","Overcast",0.2,"2019",4
"26","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-05-07," ","No","Partly Cloudy",6.8,"2019",5
"27","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-06-05," ","No","Overcast",6.6,"2019",6
"28","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-07-09," ","Yes","Overcast",6.3,"2019",7
"29","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-08-06," ","Yes","Overcast",6,"2019",8
"30","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-09-03," ","No","Sunny",6.7,"2019",9
"31","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-10-01," ","No","Sunny",5.8,"2019",10
"32","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-11-05,"Duplicate Site","No","Partly Cloudy",8.1,"2019",11
"33","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2019-12-03,"Organic foam on water surfaace","No","Sunny",9,"2019",12
"34","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-01-07," ","No","Overcast",9.9,"2020",1
