"","Stream.Name","Station.Name","Date","Comments","Rain.in.Last.24.Hours","Sky.Condition","Copper","Dissolved Oxygen","Fecal Coliform","pH","Temperature","Total Phosphorus","Total Suspended Solids","Turbidity","Zinc"
"1","Ellerbe Creek","EL1.9EC",2019-01-08," ","No","Partly Cloudy",3.2,9.6,373,7.3,10.5,0.06,4.4,7.7,20.7
"2","Ellerbe Creek","EL1.9EC",2019-02-05," ","No","Sunny",2.55,9.3,111,7.6,11.2,0.05,2.8,5.5,23.15
"3","Ellerbe Creek","EL1.9EC",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",4.175,NA,510,NA,NA,0.095,10.4,NA,18.2
"4","Ellerbe Creek","EL1.9EC",2019-04-02," ","No","Overcast",3.55,0.2,52,7.6,11.6,0.05,2.6,4.4,34.35
"5","Ellerbe Creek","EL1.9EC",2019-05-07," ","No","Partly Cloudy",5.25,6.8,475,7,19.3,0.07,7.7,10,20.3
"6","Ellerbe Creek","EL1.9EC",2019-06-05," ","No","Overcast",3.6,6.6,427,7.5,22.7,0.09,2.6,3.8,21.35
"7","Ellerbe Creek","EL1.9EC",2019-07-09," ","Yes","Overcast",4.45,6.3,2000,7.4,25.5,0.17,7.3,9.6,22.75
"8","Ellerbe Creek","EL1.9EC",2019-08-06," ","Yes","Overcast",4.15,6,31000,7.3,24.5,0.25,19.2,23.7,23.65
"9","Ellerbe Creek","EL1.9EC",2019-09-03," ","No","Sunny",2.55,6.7,467,7.6,24.5,0.12,2.5,2.7,23.7
"10","Ellerbe Creek","EL1.9EC",2019-10-01," ","No","Sunny",2,5.8,440,7.5,24.5,0.16,2.5,1.6,30.45
"11","Ellerbe Creek","EL1.9EC",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",3.475,NA,550,NA,NA,0.495,2.5,NA,31.7
"12","Ellerbe Creek","EL1.9EC",2019-12-03,"Organic foam on water surfaace","No","Sunny",2.65,9,197,7.5,10.9,0.09,4.5,10.1,31.65
"13","Ellerbe Creek","EL1.9EC",2020-01-07," ","No","Overcast",3.6,9.9,120,7.4,9.5,0.09,6.4,11.7,27.4
"14","Ellerbe Creek","EL1.9EC",2020-02-04," ","No","Partly Cloudy",4.05,8.9,81,7.2,12.9,0.11,4.3,6.5,28.2
"15","Ellerbe Creek","EL1.9EC",2020-03-03,"Duplicate","No","Overcast",3.65,NA,107.5,NA,NA,0.06,4.35,NA,23.625
"16","Ellerbe Creek","EL1.9EC",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",3.95,8.5,120,7,14.6,0.08,2.5,2.6,16.45
"17","Ellerbe Creek","EL1.9EC",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",8.425,6.8,38000,6.2,23.4,0.09,202,196,23.585
"18","Ellerbe Creek","EL1.9EC",2020-09-01," ","Yes","Overcast",6.09,6.4,35000,6.6,24.9,0.72,61.3,77,16.105
"19","Ellerbe Creek","EL1.9EC",2020-10-06," ","No","Sunny",3.095,7.9,140,7,17.7,0.14,2.5,2.1,17.185
"20","Ellerbe Creek","EL1.9EC",2020-11-03,"Duplicate Site Duplicate","No","Sunny",3.2525,NA,660,NA,NA,0.195,4.65,NA,13.185
"21","Ellerbe Creek","EL1.9EC",2020-12-01," ","Yes","Sunny",4.995,8.6,2100,6.6,13.2,0.08,17.6,34.3,12.19
"22","Ellerbe Creek","EL1.9EC",2019-03-05,"Duplicate Site","Yes","Overcast",NA,10.4,NA,7.4,9.1,NA,NA,22.3,NA
