Stream.Name,Station.Name,Parameter,Date,Comments,Rain.in.Last.24.Hours,Sky.Condition,Final_Value,Month,Year
Eno River,EN13.3ER,Copper,2020-01-07,raining,Yes,Overcast,2.35,1,2020
Eno River,EN13.3ER,Copper,2020-02-04,rain stopped,Yes,Overcast,1.85,2,2020
Eno River,EN13.3ER,Copper,2020-03-03, ,,,1.4,3,2020
Eno River,EN13.3ER,Copper,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,1.3624999999999998,8,2020
Eno River,EN13.3ER,Copper,2020-09-01, ,Yes,Overcast,2.585,9,2020
Eno River,EN13.3ER,Copper,2020-10-06, ,No,Sunny,1.2650000000000001,10,2020
Eno River,EN13.3ER,Copper,2020-11-03, ,No,Sunny,1.1749999999999998,11,2020
Eno River,EN13.3ER,Copper,2020-12-01, ,Yes,Sunny,3.955,12,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-01-07,raining,Yes,Overcast,11.5,1,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-02-04,rain stopped,Yes,Overcast,11,2,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-03-03, ,No,Overcast,11.2,3,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-07-07, ,Yes,Partly Cloudy,7.1,7,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane.,Yes,Sunny,6.8,8,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-09-01, ,Yes,Overcast,7.1,9,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-10-06, ,No,Sunny,8.9,10,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-11-03, ,No,Sunny,10.3,11,2020
Eno River,EN13.3ER,Dissolved Oxygen,2020-12-01, ,Yes,Sunny,10,12,2020
Eno River,EN13.3ER,Fecal Coliform,2020-01-07,raining,Yes,Overcast,180,1,2020
Eno River,EN13.3ER,Fecal Coliform,2020-02-04,rain stopped,Yes,Overcast,88,2,2020
Eno River,EN13.3ER,Fecal Coliform,2020-03-03, ,,,38,3,2020
Eno River,EN13.3ER,Fecal Coliform,2020-07-07, ,Yes,Partly Cloudy,420,7,2020
Eno River,EN13.3ER,Fecal Coliform,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,3000,8,2020
Eno River,EN13.3ER,Fecal Coliform,2020-09-01, ,Yes,Overcast,23000,9,2020
Eno River,EN13.3ER,Fecal Coliform,2020-10-06, ,No,Sunny,111,10,2020
Eno River,EN13.3ER,Fecal Coliform,2020-11-03, ,No,Sunny,130,11,2020
Eno River,EN13.3ER,Fecal Coliform,2020-12-01, ,Yes,Sunny,3200,12,2020
Eno River,EN13.3ER,pH,2020-01-07,raining,Yes,Overcast,7,1,2020
Eno River,EN13.3ER,pH,2020-02-04,rain stopped,Yes,Overcast,6.6,2,2020
Eno River,EN13.3ER,pH,2020-03-03, ,No,Overcast,6.7,3,2020
Eno River,EN13.3ER,pH,2020-07-07, ,Yes,Partly Cloudy,7,7,2020
Eno River,EN13.3ER,pH,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane.,Yes,Sunny,6.9,8,2020
Eno River,EN13.3ER,pH,2020-09-01, ,Yes,Overcast,6.5,9,2020
Eno River,EN13.3ER,pH,2020-10-06, ,No,Sunny,6.8,10,2020
Eno River,EN13.3ER,pH,2020-11-03, ,No,Sunny,6.7,11,2020
Eno River,EN13.3ER,pH,2020-12-01, ,Yes,Sunny,6.5,12,2020
Eno River,EN13.3ER,Temperature,2020-01-07,raining,Yes,Overcast,6.4,1,2020
Eno River,EN13.3ER,Temperature,2020-02-04,rain stopped,Yes,Overcast,9.1,2,2020
Eno River,EN13.3ER,Temperature,2020-03-03, ,No,Overcast,10.4,3,2020
Eno River,EN13.3ER,Temperature,2020-07-07, ,Yes,Partly Cloudy,26.7,7,2020
Eno River,EN13.3ER,Temperature,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane.,Yes,Sunny,25.9,8,2020
Eno River,EN13.3ER,Temperature,2020-09-01, ,Yes,Overcast,24.6,9,2020
Eno River,EN13.3ER,Temperature,2020-10-06, ,No,Sunny,15.5,10,2020
Eno River,EN13.3ER,Temperature,2020-11-03, ,No,Sunny,11.2,11,2020
Eno River,EN13.3ER,Temperature,2020-12-01, ,Yes,Sunny,12.1,12,2020
Eno River,EN13.3ER,Total Phosphorus,2020-01-07,raining,Yes,Overcast,0.08,1,2020
Eno River,EN13.3ER,Total Phosphorus,2020-02-04,rain stopped,Yes,Overcast,0.05,2,2020
Eno River,EN13.3ER,Total Phosphorus,2020-03-03, ,,,0.03,3,2020
Eno River,EN13.3ER,Total Phosphorus,2020-07-07, ,Yes,Partly Cloudy,0.03,7,2020
Eno River,EN13.3ER,Total Phosphorus,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,0.045,8,2020
Eno River,EN13.3ER,Total Phosphorus,2020-09-01, ,Yes,Overcast,0.2,9,2020
Eno River,EN13.3ER,Total Phosphorus,2020-10-06, ,No,Sunny,0.003,10,2020
Eno River,EN13.3ER,Total Phosphorus,2020-11-03, ,No,Sunny,0.13,11,2020
Eno River,EN13.3ER,Total Phosphorus,2020-12-01, ,Yes,Sunny,0.06,12,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-01-07,raining,Yes,Overcast,6.9,1,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-02-04,rain stopped,Yes,Overcast,5.1,2,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-03-03, ,,,3.3,3,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-07-07, ,Yes,Partly Cloudy,2.5,7,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,17.4,8,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-09-01, ,Yes,Overcast,82.5,9,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-10-06, ,No,Sunny,4.3,10,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-11-03, ,No,Sunny,2.5,11,2020
Eno River,EN13.3ER,Total Suspended Solids,2020-12-01, ,Yes,Sunny,28.7,12,2020
Eno River,EN13.3ER,Turbidity,2020-01-07,raining,Yes,Overcast,19.5,1,2020
Eno River,EN13.3ER,Turbidity,2020-02-04,rain stopped,Yes,Overcast,14.5,2,2020
Eno River,EN13.3ER,Turbidity,2020-03-03, ,No,Overcast,8.7,3,2020
Eno River,EN13.3ER,Turbidity,2020-07-07, ,Yes,Partly Cloudy,5.1,7,2020
Eno River,EN13.3ER,Turbidity,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane.,Yes,Sunny,16.4,8,2020
Eno River,EN13.3ER,Turbidity,2020-09-01, ,Yes,Overcast,100,9,2020
Eno River,EN13.3ER,Turbidity,2020-10-06, ,No,Sunny,7.7,10,2020
Eno River,EN13.3ER,Turbidity,2020-11-03, ,No,Sunny,7,11,2020
Eno River,EN13.3ER,Turbidity,2020-12-01, ,Yes,Sunny,49.8,12,2020
Eno River,EN13.3ER,Zinc,2020-01-07,raining,Yes,Overcast,5.95,1,2020
Eno River,EN13.3ER,Zinc,2020-02-04,rain stopped,Yes,Overcast,5.45,2,2020
Eno River,EN13.3ER,Zinc,2020-03-03, ,,,4.85,3,2020
Eno River,EN13.3ER,Zinc,2020-08-04,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,1.74,8,2020
Eno River,EN13.3ER,Zinc,2020-09-01, ,Yes,Overcast,4.05,9,2020
Eno River,EN13.3ER,Zinc,2020-10-06, ,No,Sunny,1.505,10,2020
Eno River,EN13.3ER,Zinc,2020-11-03, ,No,Sunny,0.44499999999999995,11,2020
Eno River,EN13.3ER,Zinc,2020-12-01, ,Yes,Sunny,3.42,12,2020
