Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Watershed:Eno River 
Medium:Water
Parameters: Dissolved Oxygen    Time Period:2019-01-01 ~ 2020-12-31
Project:all
Data was downloaded on March 15 2021 5:23 pm
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Watershed,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-01-07 11:05:00","10.5","","mg/L","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-02-04 11:05:00","9.3","","mg/L","","light rain","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-03-03 11:10:00","10.3","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-07-07 10:50:00","4.7","","mg/L","","Duplicate Site","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-08-04 10:45:00","7","","mg/L","","Heavy rains overnight from hurricane.","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-09-01 11:05:00","6.8","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-10-06 10:50:00","7.1","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-11-03 10:45:00","9.2","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Dissolved Oxygen","2020-12-01 10:25:00","10.1","","mg/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-01-07 11:40:00","11.5","","mg/L","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-02-04 11:30:00","11","","mg/L","","rain stopped","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-03-03 11:25:00","11.2","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-07-07 11:25:00","7.1","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-08-04 11:20:00","6.8","","mg/L","","Duplicate Site; Heavy rains overnight from hurricane.","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-09-01 11:30:00","7.1","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-10-06 11:15:00","8.9","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-11-03 11:10:00","10.3","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Dissolved Oxygen","2020-12-01 10:55:00","10","","mg/L",""," ","Yes","Sunny","4","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-01-07 09:40:00","11.3","","mg/L",""," ","No","Overcast","3","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-02-04 09:40:00","10.7","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-03-03 09:45:00","10.9","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-07-07 09:15:00","5.7","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-08-04 09:20:00","6.8","","mg/L","","Heavy rains overnight from hurricane.","Yes","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-09-01 09:40:00","6.8","","mg/L","","Very high flow","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-10-06 09:35:00","8.7","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-11-03 09:25:00","9.8","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","Dissolved Oxygen","2020-12-01 09:10:00","10.1","","mg/L","","Duplicate Site","Yes","Sunny","4","G","No","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-01-15 08:50:00","12.1","","mg/L","","Duplicate Site","No","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-02-12 08:30:00","12.2","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-03-12 08:35:00","10.5","","mg/L",""," ","Yes","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-04-09 08:45:00","9.2","","mg/L","","Sample taken near bank due to very high stage","Yes","Overcast","5","G","No","SDWRF","Ambient",
