Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Watershed:Eno River 
Medium:Water
Parameters: Fecal Coliform    Time Period:2019-01-01 ~ 2020-12-31
Project:all
Data was downloaded on March 15 2021 5:23 pm
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Watershed,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"Eno River","EN10.3WC","","Fecal Coliform","2020-01-07 11:05:00","155","","cfu/100mL","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-02-04 11:05:00","100","","cfu/100mL","","light rain","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-03-03 11:10:00","125","","cfu/100mL",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-07-07 10:50:00","1476","","cfu/100mL","","Duplicate Site Duplicate","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-07-07 10:50:00","2800","","cfu/100mL","","Duplicate Site Duplicate","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-08-04 10:45:00","24000","","cfu/100mL","","Heavy rains overnight from hurricane.","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-09-01 11:05:00","33000","","cfu/100mL",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-10-06 10:50:00","150","","cfu/100mL",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-11-03 10:45:00","560","","cfu/100mL",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","","Fecal Coliform","2020-12-01 10:25:00","720","","cfu/100mL",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Fecal Coliform","2020-01-07 11:40:00","180","","cfu/100mL","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Fecal Coliform","2020-02-04 11:30:00","88","","cfu/100mL","","rain stopped","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","Fecal Coliform","2020-03-03 11:35:00","38","","cfu/100mL",""," ","","","","","","","Ambient",
"Eno River","EN13.3ER","","Fecal Coliform","2020-07-07 11:25:00","420","","cfu/100mL",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
