Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,
Stream Name:Eno River ,,,,,,,,,,,,,,,,
Medium:Water,,,,,,,,,,,,,,,,
Parameters: Total Phosphorus    Time Period:2019-01-01 ~ 2020-12-31,,,,,,,,,,,,,,,,
Project:Ambient,,,,,,,,,,,,,,,,
Data was downloaded on April 8 2021 11:59 pm,,,,,,,,,,,,,,,,
The data contains the QA code. ,,,,,,,,,,,,,,,,
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stream Name,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
Eno River,EN13.3ER,,Total Phosphorus,1/7/2020 11:40,0.08,,mg/L,,raining,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,2/4/2020 11:30,0.05,,mg/L,,rain stopped,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,3/3/2020 11:35,0.03,,mg/L,, ,,,,,,,Ambient
Eno River,EN13.3ER,,Total Phosphorus,7/7/2020 11:25,0.03,,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,8/4/2020 11:20,0.03,,mg/L,,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,8/4/2020 11:20,0.06,,mg/L,,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,9/1/2020 11:30,0.2,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,10/6/2020 11:15,0.003,U,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,11/3/2020 11:10,0.13,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Phosphorus,12/1/2020 10:55,0.06,,mg/L,, ,Yes,Sunny,4,G,No,SDWRF,Ambient
