Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,
Stream Name:Eno River ,,,,,,,,,,,,,,,,
Medium:Water,,,,,,,,,,,,,,,,
Parameters: Total Suspended Solids    Time Period:2019-01-01 ~ 2020-12-31,,,,,,,,,,,,,,,,
Project:all,,,,,,,,,,,,,,,,
Data was downloaded on March 23 2021 1:28 pm,,,,,,,,,,,,,,,,
The data contains the QA code. ,,,,,,,,,,,,,,,,
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stream Name,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
Eno River,EN13.3ER,,Total Suspended Solids,1/7/2020 11:40,6.9,,mg/L,,raining,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,2/4/2020 11:30,5.1,,mg/L,,rain stopped,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,3/3/2020 11:35,3.3,,mg/L,, ,,,,,,,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,7/7/2020 11:25,2.5,U,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,8/4/2020 11:20,17.4,,mg/L,,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,8/4/2020 11:20,17.4,,mg/L,,Duplicate Site; Heavy rains overnight from hurricane. Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,9/1/2020 11:30,82.5,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,10/6/2020 11:15,4.3,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,11/3/2020 11:10,2.5,U,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN13.3ER,,Total Suspended Solids,12/1/2020 10:55,28.7,,mg/L,, ,Yes,Sunny,4,G,No,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,1/7/2020 9:40,10.2,,mg/L,, ,No,Overcast,3,G,No,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,2/4/2020 9:40,6.9,,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,3/3/2020 9:45,3.5,,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,7/7/2020 9:15,5,U,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,8/4/2020 9:20,105,,mg/L,,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,4,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,9/1/2020 9:40,86.2,,mg/L,,Very high flow,Yes,Overcast,4,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,10/6/2020 9:35,6.7,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,11/3/2020 9:25,2.8,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,12/1/2020 9:10,46.6,,mg/L,,Duplicate Site Duplicate,Yes,Sunny,4,G,No,SDWRF,Ambient
Eno River,EN4.9ER,,Total Suspended Solids,12/1/2020 9:10,54.8,,mg/L,,Duplicate Site Duplicate,Yes,Sunny,4,G,No,SDWRF,Ambient
Eno River,EN8.9ER,,Total Suspended Solids,1/15/2019 8:50,9.6,,mg/L,,Duplicate Site Duplicate,No,Partly Cloudy,4,G,Yes,SDWRF,Ambient
Eno River,EN8.9ER,,Total Suspended Solids,1/15/2019 8:50,9.8,,mg/L,,Duplicate Site Duplicate,No,Partly Cloudy,4,G,Yes,SDWRF,Ambient
Eno River,EN8.9ER,,Total Suspended Solids,2/12/2019 8:30,2.5,,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
Eno River,EN8.9ER,,Total Suspended Solids,3/12/2019 8:35,5,U,mg/L,, ,Yes,Partly Cloudy,4,G,Yes,SDWRF,Ambient
Eno River,EN8.9ER,,Total Suspended Solids,4/9/2019 8:45,134,,mg/L,,Sample taken near bank due to very high stage,Yes,Overcast,5,G,No,SDWRF,Ambient
